area,name,pricetotal,priceunit
97.75平米,次顶层 正南一居 采光好视野好 满五唯一 随时可看,602万,101724元/平米
97.75平米,前门东大街 南向两居室 看房方便,465万,95307元/平米
76.6平米,西城区广安门 远见名苑东南朝向的三居室,1089万,85205元/平米
76.6平米,马甸南村 环境优美 封闭式管理 停车方便,1110万,140152元/平米
76.6平米,椿树馆街35号院 田字格全明南北3居 去年新装 中楼层,710万,95946元/平米
76.6平米,南北通透三居室，适合居家生活，前后无遮挡，采光充足,830万,116574元/平米
76.6平米,延安大院 航空航天设计规划研究院家属楼 正规4居室,1380万,130312元/平米
95.25平米,眼镜户型三居室，精装修，有产权车位，中间位置,960万,68552元/平米
95.25平米,金茂府北区 南北通透大平层  科技住宅 有车位和储存间,3400万,118965元/平米
95.25平米,华发颐园 三居室 三卫  诚心出售 看房方便,959万,60429元/平米
95.25平米,【店长推荐】朝外三丰里 南北通透 东二环,439万,73869元/平米
95.25平米,地铁七号线黄厂站 满五年唯一 西向双卫大两居,449.8万,47503元/平米
54.41平米,潘家园 小两居 南向 有钥匙 随时看房,298万,58952元/平米
57.1平米,龙翔路小区南向一居室，次顶层，满五年,400万,87720元/平米
57.1平米,清河，清缘东里，东南向两居室，满五年商品房。,520万,64798元/平米
57.1平米,翠微南里满五年唯一精装修随时看房中间楼层产权清晰,440万,120813元/平米
57.1平米,北二环地铁宿舍小区  98年房龄  朝南   带电梯,625万,86686元/平米
57.1平米,望山园精装两居，满五年唯一，电梯入地库！餐厨一体！,860万,83617元/平米
74.5平米,逸成东苑 3居室 高楼层  采光视野好,785万,60048元/平米
74.5平米,华盛家园四居室  户型方正 客厅宽敞  使用率高,1299万,74361元/平米
74.5平米,科育小区、满五年唯一商品房、精装修、南北通透,770万,143926元/平米
74.5平米,清河永泰小区东里 正规两居室 无遮挡采光充足,418万,72583元/平米
60.81平米,满五唯一商品房精装修一层无遮挡,898万,131672元/平米
60.81平米,97年中石油家属楼，地下停车场，电梯直达，封闭式管理,1088万,129370元/平米
60.81平米,2005年融城  西南向三室一厅两卫,1760万,108095元/平米
60.81平米,丽水莲花 2室1厅 南,924万,88847元/平米
60.81平米,真武庙六里东南三居，俯瞰护城河视野开阔，1990年楼龄,980万,123426元/平米
97.75平米,二环内教委家属院 全明两居中间层 满五唯一 业主诚售,735万,119396元/平米
56.33平米,东城区南北通透两居室，明厨明卫！,582万,103320元/平米
76.6平米,中石化宿舍，低楼层，南北双卫，装修不错,1440万,130082元/平米
76.6平米,榆树馆西里 南向一居室 中间楼层,510万,126238元/平米
76.6平米,红山世家 户型方正 东西通透两居室,1065万,113540元/平米
76.6平米,精装高楼层南北通透正规小两居室,650万,112691元/平米
76.6平米,东南北全明户型 有钥匙 拎包入住 满五年可聊,779万,127705元/平米
58.1平米,稻香园北社区 南北通透两居室  婚房装修,626万,107746元/平米
58.1平米,北二环 积水潭桥东北角 南北通透 精装两居室,415万,71429元/平米
95.25平米,都城心屿 临近东二环，视野宽阔，远观西山，配套齐全,525万,68165元/平米
95.25平米,满五年唯一 南北通透三居室 中低楼层 视野好 采光好,473万,38562元/平米
95.25平米,金都杭城东区 满五年唯一  南北通透全明户型,805万,76733元/平米
83.85平米,裕瑞轩 两居 南北通透  2016年重新精装修 采光充足,550万,65594元/平米
53.9平米,冠英园西区东向大一居  面向小区花园,686万,127273元/平米
57.1平米,阳光温馨一居 南向 落地窗 无遮挡 满五唯一,543万,75913元/平米
57.1平米,凯盛家园 满五唯一业主诚心出售 中间楼层南北通透2居,385万,49537元/平米
57.1平米,双榆树北里 板楼中间层 南北通透 航天部家属楼,599万,109507元/平米
57.1平米,白石桥 计生委宿舍 中间楼层 停车方便,560万,97732元/平米
57.1平米,稻香园西里满五年成本价，采光好，钢混结构，交通便利,630万,106780元/平米
60.81平米,此房南北通透格局，采光视野无遮挡，交通便利,1136万,106667元/平米
60.81平米,新安南里 南北通透 2层本房满五年唯一,565万,102579元/平米
60.81平米,宣武门 庄胜二期正规南北三居室 诚心出售,1710万,129654元/平米
56.33平米,东城区政府家属院2000年管理好有电梯,828万,98186元/平米
56.33平米,广渠门南水关 东西通透两居室 楼龄新,525万,96331元/平米
56.33平米,北官厅胡同，南北通透，两居，诚意出售,590万,102609元/平米
56.33平米,满五唯一 明厨明卫  不临街 看房方便,495万,96794元/平米
56.33平米,金宝街  朝阳门南小街 南北通透两居无遮挡,746万,107400元/平米
76.6平米,官园公寓 优质南北南北四居 大面宽中间层 采光充足,2660万,136055元/平米
76.6平米,西城广安门荣丰二期西向复式，满五年唯一，看房随时,425万,139071元/平米
76.6平米,南北全明三居 中间层 满五年住房 随时看房和签约,822万,101884元/平米
76.6平米,物资部南北向三居 诚心出售 看房方便,998万,140366元/平米
76.6平米,西城东北朝向两居   业主诚心出售,493万,76364元/平米
76.6平米,月坛 复兴门 金融街 东向两居室,615万,116699元/平米
58.1平米,西直门 交大嘉园东向两居室客厅带窗户 电梯直通车库,799万,97132元/平米
58.1平米,中科院植物所宿舍双南向两居室，无遮挡小户型！,515万,97538元/平米
58.1平米,交大嘉园 2室1厅 西,800万,97241元/平米
58.1平米,安宁庄东路2号院两居室，南北通透，户型方正,378万,62377元/平米
58.1平米,三义庙北 中间楼层  不临街 厅带窗户,414万,98572元/平米
58.1平米,海淀路小区  双南向两居室  户型好,419万,87841元/平米
58.1平米,清景园南向精装两居室  带固定车位  有钥匙随时签约,619万,62062元/平米
58.1平米,厂洼小区，满五年唯一福利分房，有电梯。,549万,89560元/平米
58.1平米,海淀产权 满五唯一 三年前新装修  中间楼层 看房方便,253万,36779元/平米
58.1平米,阜光里小区  南北 三室俩卫 带电梯,1100万,91211元/平米
43.95平米,东城区09年商品房华龙美晟精装修一居室,345万,78499元/平米
83.85平米,经典两居，采光好无遮挡，一梯两户业主诚售！！,365万,38057元/平米
83.85平米,美景东方 二期落地窗 不临街观小区花园 只有契税,624万,67562元/平米
83.85平米,东二环边 南北通透2层，随时可看，起重机厂单位的房子,480万,70610元/平米
83.85平米,炫特嘉园 东南一居室，双阳台，对小区花园，满五唯一,397万,63449元/平米
83.85平米,首付120万，精装修，适合刚需，朝阳产权，双地铁,285万,69242元/平米
188.64平米,此房满五年，观景楼层，正观国贸和欢乐谷 空置随时看,1318万,69869元/平米
53.9平米,马甸户型好，南北通透双阳台，楼龄新，通风良好,880万,130758元/平米
53.9平米,看房方便 南向采光好 不临街小两居,760万,145316元/平米
53.9平米,阜成门  2室 中间层 诚心出售 随时可看,558万,119487元/平米
53.9平米,阜成门 百万庄小区 低楼层 诚心出售,610万,126557元/平米
53.9平米,车公庄北里  南北两居  管理好,607万,104836元/平米
56.33平米,竹杆胡同全明格局两居室，业主诚意出售,770万,112229元/平米
56.33平米,兴隆都市馨园 1室0厅 南,370万,98431元/平米
56.33平米,东城区 二环里 正规两居室 满五商品房 邻近龙潭公园,429万,73047元/平米
56.33平米,东城区，精装修带电梯，朝南双卫两居室,729万,58269元/平米
56.33平米,本家润园三期，全南向3居，大阳台，无遮挡视野好,925万,94921元/平米
56.33平米,东城区，东直门内，高楼层，南北通透，电梯三居室,1095万,96527元/平米
76.6平米,西城  满五年 业主唯一住房 户型方正,410万,112453元/平米
76.6平米,阜成门外北街双南两居  高楼层 电梯直达,735万,115931元/平米
76.6平米,双旗杆东里 3室1厅 东北,885万,118158元/平米
58.1平米,太阳园8号楼东向一居室，业主现在变现，诚心卖,560万,95792元/平米
58.1平米,马连洼兰园，精装修两居室，采光视野好,516万,71997元/平米
58.1平米,满五年 商品房 南北朝向 看房方便,410万,73215元/平米
58.1平米,海淀九号 东向精装一居 高楼层视野好,495万,75700元/平米
58.1平米,皂君庙 满五唯一 精装 楼龄新 有家具家电车位仓储,389万,78302元/平米
58.1平米,复兴路乙6号院 电梯三居 业主诚心出售 随时签约,608万,86364元/平米
58.1平米,满五年唯一 不临街 中高楼层 精装修,622万,77268元/平米
58.1平米,玉泉路 玉海园三里 精装修 三居 满五年,762万,74480元/平米
58.1平米,阜北南北三居室，满五唯一，中间楼层，诚心出售,620万,91177元/平米
58.1平米,三里河路5号院，楼层好，户型好，购房成本低,670万,110653元/平米
58.1平米,永金里小区南北朝向 满五年唯一 商品房,650万,68436元/平米
43.95平米,交东小区 2003年板楼 南北通透 楼层好 无遮挡,860万,124350元/平米
43.95平米,双朝南一居室，前后不临街 南向对花园  视野好,598万,105134元/平米
43.95平米,东城区 广渠家园 精装 正规2居 采光视野好,537万,86585元/平米
43.95平米,东南向两居室 阳光无遮挡视野开阔,675万,102366元/平米
43.95平米,双卧朝南 采光充足 视野开阔 无土地出让金,935万,88450元/平米
43.95平米,东城和平里 95年楼龄 板楼2层的全明格局,683万,98260元/平米
83.85平米,小营西路1号 东西通透两居室，全明格局，2000年板楼,443万,60003元/平米
83.85平米,望京新城 高层无遮挡 采光时间6小时 满五年一套,480万,65556元/平米
83.85平米,炫特嘉园一期 满五年唯一东向大开间,272万,53734元/平米
83.85平米,西坝河西里  南北通透两居室 满五唯一 1994年板楼,340万,62294元/平米
83.85平米,东三环朝阳区地铁10号线潘家园松榆西里南北通透板楼,375万,63679元/平米
83.85平米,东西向三居室 户型方正，格局合理，中高楼层，,1388万,63336元/平米
188.64平米,望京西园三区，小区中间不临街，看花园2居，有车位,719万,70140元/平米
188.64平米,吉祥里小区东南三居室，户型布局合理,945万,81109元/平米
188.64平米,华贸城东向方正户型 封闭式厨房 有钥匙随时看房高楼层,456万,88185元/平米
188.64平米,亚奥金茂悦南北三居室，视野好，采光好，看房方便,980万,83185元/平米
188.64平米,首开畅心园，东北向两居室，全明格局。,285万,40000元/平米
188.64平米,管庄北二里 新装修 视野好 采光充足 无遮挡。,385万,56361元/平米
53.9平米,官苑8号 高楼层采光好 满五年唯一 南北通透三居室,2570万,158770元/平米
53.9平米,西城区 南北通透 大三居 楼龄新,528万,68262元/平米
53.9平米,西城西南三居，朝西无遮挡，满五年，诚心出售,760万,68741元/平米
53.9平米,西城广安门乐城 满五唯一 东南向 商品房 两居室,658万,75364元/平米
53.9平米,2006商品房， 南北两居室业主诚心出售,665万,71994元/平米
53.9平米,金果胡同一居室，业主诚心出售，有钥匙看房方便,550万,125571元/平米
56.33平米,业主自住精装修，南北通透大复式，能贷款，看房方便,870万,82810元/平米
56.33平米,北二环边 南北通透三居室 明厨明卫明厅 安静不临街,835万,107437元/平米
56.33平米,东城区南二环景泰桥南，满五唯一南北通透户型优质两居,490万,71056元/平米
56.33平米,和平里五区 南北向两居室 采光好 邻近地坛公园,645万,117018元/平米
56.33平米,鼎力推荐-全明格局三居室，户型方正楼层高，诚心出售,868万,94103元/平米
56.33平米,东城区 悠胜美苑  南向三居室 采光好 交通便利,870万,71712元/平米
58.1平米,万科物业，70年产权 高层西南向三居,1460万,70799元/平米
58.1平米,甘家口 央视家属院 南北两居室带正规客厅 管理视野好,799万,94557元/平米
58.1平米,太极小区南北通透三居室，业主诚意出售,723万,90263元/平米
58.1平米,玉海园南北大复式 满五唯一  两个大阳台不算建筑面积,745万,59410元/平米
58.1平米,中关村大一居  业主诚意出售 中间楼层 单价低,625万,100338元/平米
58.1平米,清河宝盛北里 电梯两居 南北通透 大理石精装 无遮挡,585万,64195元/平米
58.1平米,紫竹桥2000年单位分房，正规三居带大客厅，户型方正。,755万,85475元/平米
58.1平米,天秀花园古月园3居5层南北向有车位,1088万,68432元/平米
58.1平米,常秀家园  海淀正规三居室，低楼层，看房方便,480万,59260元/平米
58.1平米,北洼东里 3室1厅 西北 东,858万,86895元/平米
58.1平米,四季青 五棵松26号院 精装修两居室,680万,82897元/平米
58.1平米,双榆树南里 中间层 全明三居 看房方便,610万,93702元/平米
43.95平米,东直门 工体 三里屯 春秀路小区,620万,102378元/平米
43.95平米,东城小两居室 南北向 高层视野采光好,485万,109210元/平米
43.95平米,朝阳门南小街 双南向 电梯直达两居室,818万,101843元/平米
43.95平米,复式两居室，满五年唯一，电梯直达，业主诚售！,589万,91460元/平米
43.95平米,东城区永定门车站路6号院精装修两居室,368万,72073元/平米
43.95平米,很棒的田字格三居室 户型方正 楼层适中适合老人孩子,795万,95992元/平米
83.85平米,万象新天四区  全南向两居室  诚意出售  采光充足,515万,57280元/平米
83.85平米,北苑家园莲葩园东南大三居，高楼层，视野好,689万,50917元/平米
83.85平米,金地物业 观花园 采光好 视野开阔 品质小区,670万,79422元/平米
83.85平米,珠江帝景满五唯一，保养好，拎包入住,980万,88704元/平米
83.85平米,科学园南里七区低楼层南北向三居室报价合理,698万,86184元/平米
83.85平米,明卫双通透！满5唯1正对公园！位置安静楼层好采光好！,696万,74122元/平米
